entities,test,framework,unit,timestamp,median,mean,stddev,min,max,rounds
10,add_empty_entity,echoes,s,2024-02-03 22:41:22Z,0.000001042,0.000001089,0.000000451,0.000000917,0.000037958,699975
10,add_empty_entity,echoes,kb,2024-02-03 22:41:23Z,0.3906,0.3906,0.0005,0.3906,0.8438,684622
10,add_empty_entity,lovetoys,s,2024-02-03 22:41:24Z,0.000002708,0.000003149,0.000001466,0.000002458,0.00024925,255449
10,add_empty_entity,lovetoys,kb,2024-02-03 22:41:26Z,5.2656,5.2656,0.0009,5.2656,5.7188,280265
10,add_empty_entity,tinyecs,s,2024-02-03 22:41:27Z,0.000001083,0.000001126,0.000000359,0.000000958,0.000043833,656753
10,add_empty_entity,tinyecs,kb,2024-02-03 22:41:28Z,1.7656,1.7656,0.0006,1.7656,2.2188,645075
10,add_empty_entity,ecs-lua,s,2024-02-03 22:41:30Z,0.000002917,0.000003156,0.000001032,0.000002583,0.000091625,235509
10,add_empty_entity,ecs-lua,kb,2024-02-03 22:41:31Z,9.2188,9.2188,0.0007,9.2188,9.5508,245511
10,add_empty_entity,nata,s,2024-02-03 22:41:33Z,0.000004167,0.000004295,0.000001068,0.000003917,0.000118917,188630
10,add_empty_entity,nata,kb,2024-02-03 22:41:34Z,1.9531,1.9531,0,1.9531,1.9531,190204
10,add_empty_entity,concord,s,2024-02-03 22:41:36Z,0.0000025,0.00000264,0.000001913,0.000002167,0.0003885,188443
10,add_empty_entity,concord,kb,2024-02-03 22:41:37Z,3.9219,3.922,0.0126,3.9219,6.7695,187720
10,add_entities,echoes,s,2024-02-03 22:41:38Z,0.00000525,0.000005304,0.00000111,0.000005042,0.000245708,169731
10,add_entities,echoes,kb,2024-02-03 22:41:40Z,12.8125,12.8125,0.0011,12.8125,13.2656,169437
10,add_entities,lovetoys,s,2024-02-03 22:41:41Z,0.000004875,0.000005014,0.000001152,0.000004583,0.000183208,172552
10,add_entities,lovetoys,kb,2024-02-03 22:41:43Z,9.3594,9.3594,0.0011,9.3594,9.8125,174872
10,add_entities,tinyecs,s,2024-02-03 22:41:44Z,0.000001458,0.000001512,0.00000038,0.00000125,0.000039042,489964
10,add_entities,tinyecs,kb,2024-02-03 22:41:46Z,3.9844,3.9844,0.0006,3.9844,4.4375,489655
10,add_entities,ecs-lua,s,2024-02-03 22:41:47Z,0.00000875,0.000008854,0.000001301,0.000008125,0.000108583,101088
10,add_entities,ecs-lua,kb,2024-02-03 22:41:49Z,20,20,0,20,20,101029
10,add_entities,nata,s,2024-02-03 22:41:50Z,0.0000045,0.000004599,0.000000793,0.00000425,0.00008175,180093
10,add_entities,nata,kb,2024-02-03 22:41:51Z,4.1719,4.1719,0.0008,4.1719,4.5039,179097
10,add_entities,concord,s,2024-02-03 22:41:53Z,0.000004208,0.00000444,0.000002245,0.000003833,0.000288875,136848
10,add_entities,concord,kb,2024-02-03 22:41:54Z,9.8594,9.8598,0.0313,9.8594,16.7617,139553
10,remove_entities,echoes,s,2024-02-03 22:41:55Z,0.000006042,0.000006145,0.000001544,0.000005708,0.00014875,79256
10,remove_entities,echoes,kb,2024-02-03 22:41:57Z,4.7656,4.7656,0.0016,4.7656,5.2188,79296
10,remove_entities,lovetoys,s,2024-02-03 22:41:58Z,0.000000375,0.000000406,0.000000668,0.000000292,0.000064583,80801
10,remove_entities,lovetoys,kb,2024-02-03 22:41:59Z,0.0001,0.0001,0.0016,0.0001,0.4531,79932
10,remove_entities,tinyecs,s,2024-02-03 22:42:00Z,0.000001333,0.000001391,0.000000352,0.000001167,0.000066792,400124
10,remove_entities,tinyecs,kb,2024-02-03 22:42:02Z,0.7031,0.7031,0.0007,0.7031,1.1563,389640
10,remove_entities,ecs-lua,s,2024-02-03 22:42:03Z,0.000000542,0.000000559,0.000000456,0.000000417,0.000034292,90185
10,remove_entities,ecs-lua,kb,2024-02-03 22:42:05Z,1.1016,1.1016,0,1.1016,1.1016,90199
10,remove_entities,concord,s,2024-02-03 22:42:06Z,0.000002583,0.000003597,0.000008684,0.000002,0.000374083,70917
10,remove_entities,concord,kb,2024-02-03 22:42:07Z,0.7969,0.9188,0.9716,0.7969,30.9063,60181
10,get_component,echoes,s,2024-02-03 22:42:09Z,0.000000083,0.00000009,0.000000313,0.000000001,0.000047917,142251
10,get_component,echoes,kb,2024-02-03 22:42:10Z,0.0001,0.0001,0.0012,0.0001,0.4531,139436
10,get_component,lovetoys,s,2024-02-03 22:42:11Z,0.000000083,0.000000066,0.000000108,0.000000001,0.000013708,82566
10,get_component,lovetoys,kb,2024-02-03 22:42:12Z,0.0001,0.0001,0.0016,0.0001,0.4531,83005
10,get_component,tinyecs,s,2024-02-03 22:42:14Z,0.000000042,0.000000043,0.00000005,0.000000001,0.000026167,837287
10,get_component,tinyecs,kb,2024-02-03 22:42:15Z,0.0001,0.0001,0.0005,0.0001,0.4531,823069
10,get_component,ecs-lua,s,2024-02-03 22:42:17Z,0.000000167,0.000000175,0.000000167,0.000000083,0.00002325,84091
10,get_component,ecs-lua,kb,2024-02-03 22:42:19Z,0.8594,0.8594,0.0016,0.8594,1.3125,82967
10,get_component,nata,s,2024-02-03 22:42:20Z,0.000000042,0.000000044,0.000000077,0.000000001,0.000022792,169186
10,get_component,nata,kb,2024-02-03 22:42:22Z,0.0001,0.0001,0.0011,0.0001,0.4531,169658
10,get_component,concord,s,2024-02-03 22:42:23Z,0.000000042,0.000000054,0.000000487,0.000000001,0.000035292,126614
10,get_component,concord,kb,2024-02-03 22:42:24Z,0.0001,0.0001,0.0013,0.0001,0.4531,130639
10,get_components,echoes,s,2024-02-03 22:42:25Z,0.000000083,0.000000092,0.000000378,0.000000001,0.000064333,105793
10,get_components,echoes,kb,2024-02-03 22:42:27Z,0.0001,0.0001,0.0014,0.0001,0.4531,103887
10,get_components,lovetoys,s,2024-02-03 22:42:28Z,0.000000083,0.000000072,0.000000108,0.000000001,0.000017875,82647
10,get_components,lovetoys,kb,2024-02-03 22:42:29Z,0.0001,0.0001,0.0016,0.0001,0.4531,81855
10,get_components,tinyecs,s,2024-02-03 22:42:30Z,0.000000042,0.000000057,0.000000067,0.000000001,0.000026042,909988
10,get_components,tinyecs,kb,2024-02-03 22:42:32Z,0.0001,0.0001,0.0005,0.0001,0.4531,878728
10,get_components,ecs-lua,s,2024-02-03 22:42:34Z,0.000001875,0.000001935,0.000000885,0.000001625,0.000093833,72228
10,get_components,ecs-lua,kb,2024-02-03 22:42:36Z,2.2656,2.2656,0,2.2656,2.2656,71895
10,get_components,nata,s,2024-02-03 22:42:37Z,0.000000042,0.000000056,0.000000046,0.000000001,0.000008792,171816
10,get_components,nata,kb,2024-02-03 22:42:38Z,0.0001,0.0001,0.0011,0.0001,0.4531,171534
10,get_components,concord,s,2024-02-03 22:42:40Z,0.000000042,0.00000005,0.000000151,0.000000001,0.000027625,112032
10,get_components,concord,kb,2024-02-03 22:42:41Z,0.0001,0.0001,0.0053,0.0001,0.7344,120975
10,add_component,echoes,s,2024-02-03 22:42:42Z,0.00000175,0.000001831,0.000000688,0.000001583,0.000115458,245356
10,add_component,echoes,kb,2024-02-03 22:42:44Z,8.2031,8.2031,0.0009,8.2031,8.6563,247013
10,add_component,lovetoys,s,2024-02-03 22:42:45Z,0.000002542,0.000002581,0.000000616,0.000002333,0.000055458,140582
10,add_component,lovetoys,kb,2024-02-03 22:42:46Z,2.8906,2.8906,0,2.8906,2.8906,134609
10,add_component,tinyecs,s,2024-02-03 22:42:48Z,0.000000292,0.000000299,0.000000228,0.000000167,0.000026292,942896
10,add_component,tinyecs,kb,2024-02-03 22:42:49Z,1.5625,1.5625,0.0005,1.5625,2.0156,911046
10,add_component,ecs-lua,s,2024-02-03 22:42:51Z,0.0000025,0.000002509,0.000000722,0.000002292,0.000209667,164085
10,add_component,ecs-lua,kb,2024-02-03 22:42:53Z,3.75,3.75,0,3.75,3.75,162856
10,add_component,nata,s,2024-02-03 22:42:54Z,0.000000292,0.000000312,0.000000144,0.000000208,0.000026875,176929
10,add_component,nata,kb,2024-02-03 22:42:55Z,1.5625,1.5625,0.0011,1.5625,2.0156,176716
10,add_component,concord,s,2024-02-03 22:42:57Z,0.000000875,0.000000924,0.00000045,0.00000075,0.000062625,185378
10,add_component,concord,kb,2024-02-03 22:42:58Z,2.5,2.5,0.001,2.5,2.9531,186625
10,add_components,echoes,s,2024-02-03 22:42:59Z,0.00000675,0.000006881,0.000001546,0.000006333,0.000220917,102347
10,add_components,echoes,kb,2024-02-03 22:43:01Z,12.4219,12.4219,0,12.4219,12.4219,101926
10,add_components,lovetoys,s,2024-02-03 22:43:02Z,0.000007167,0.000007385,0.000001436,0.00000675,0.000172583,83397
10,add_components,lovetoys,kb,2024-02-03 22:43:03Z,7.8125,7.8125,0,7.8125,7.8125,83313
10,add_components,tinyecs,s,2024-02-03 22:43:04Z,0.000000708,0.00000073,0.00000026,0.000000583,0.000036542,673535
10,add_components,tinyecs,kb,2024-02-03 22:43:06Z,3.125,3.125,0.0006,3.125,3.5781,661587
10,add_components,ecs-lua,s,2024-02-03 22:43:08Z,0.000008125,0.00000826,0.000001709,0.000007792,0.000260083,83597
10,add_components,ecs-lua,kb,2024-02-03 22:43:09Z,13.3594,13.3594,0,13.3594,13.3594,83120
10,add_components,nata,s,2024-02-03 22:43:10Z,0.000000792,0.000000828,0.000000388,0.000000708,0.000032208,159558
10,add_components,nata,kb,2024-02-03 22:43:12Z,3.75,3.75,0.0011,3.75,4.2031,159512
10,add_components,concord,s,2024-02-03 22:43:13Z,0.000002458,0.000002561,0.000000839,0.000002292,0.000189125,145499
10,add_components,concord,kb,2024-02-03 22:43:15Z,7.5,7.5,0.0012,7.5,7.9531,144410
10,remove_component,echoes,s,2024-02-03 22:43:16Z,0.000002917,0.00000299,0.000001246,0.000002792,0.000233792,77783
10,remove_component,echoes,kb,2024-02-03 22:43:17Z,0.0001,0.0001,0.0012,0.0001,0.332,77480
10,remove_component,lovetoys,s,2024-02-03 22:43:18Z,0.000000083,0.0000001,0.000000159,0.000000001,0.000024167,82221
10,remove_component,lovetoys,kb,2024-02-03 22:43:20Z,0.0001,0.0001,0.0016,0.0001,0.4531,81956
10,remove_component,tinyecs,s,2024-02-03 22:43:21Z,0.000000042,0.000000051,0.000000078,0.000000001,0.000034917,925798
10,remove_component,tinyecs,kb,2024-02-03 22:43:23Z,0.0001,0.0001,0.0005,0.0001,0.4531,890775
10,remove_component,ecs-lua,s,2024-02-03 22:43:25Z,0.0000025,0.000002544,0.000000828,0.000002333,0.000059167,69851
10,remove_component,ecs-lua,kb,2024-02-03 22:43:26Z,1.7188,1.7188,0,1.7188,1.7188,69922
10,remove_component,nata,s,2024-02-03 22:43:27Z,0.000000042,0.000000052,0.000000118,0.000000001,0.000025208,169332
10,remove_component,nata,kb,2024-02-03 22:43:29Z,0.0001,0.0001,0.0011,0.0001,0.4531,168294
10,remove_component,concord,s,2024-02-03 22:43:30Z,0.000001208,0.000001831,0.000006266,0.000000917,0.000229667,68856
10,remove_component,concord,kb,2024-02-03 22:43:31Z,0.3984,0.4441,0.4809,0.3984,19.6914,58844
10,remove_components,echoes,s,2024-02-03 22:43:32Z,0.000007,0.000007121,0.000001169,0.000006625,0.000136583,55177
10,remove_components,echoes,kb,2024-02-03 22:43:33Z,0.0001,0.0001,0.0014,0.0001,0.332,54975
10,remove_components,lovetoys,s,2024-02-03 22:43:35Z,0.000000083,0.000000098,0.000000119,0.000000042,0.000026875,83497
10,remove_components,lovetoys,kb,2024-02-03 22:43:36Z,0.0001,0.0001,0.0016,0.0001,0.4531,83808
10,remove_components,tinyecs,s,2024-02-03 22:43:37Z,0.000000042,0.000000054,0.000000071,0.000000001,0.000027,918314
10,remove_components,tinyecs,kb,2024-02-03 22:43:39Z,0.0001,0.0001,0.0005,0.0001,0.4531,893168
10,remove_components,ecs-lua,s,2024-02-03 22:43:41Z,0.00000425,0.000004345,0.000001086,0.000004,0.00012175,61188
10,remove_components,ecs-lua,kb,2024-02-03 22:43:42Z,2.1094,2.1094,0,2.1094,2.1094,61007
10,remove_components,nata,s,2024-02-03 22:43:43Z,0.000000042,0.000000052,0.000000065,0.000000001,0.000012083,172076
10,remove_components,nata,kb,2024-02-03 22:43:45Z,0.0001,0.0001,0.0011,0.0001,0.4531,170365
10,remove_components,concord,s,2024-02-03 22:43:46Z,0.000001292,0.000002238,0.000008383,0.000001,0.00050325,60993
10,remove_components,concord,kb,2024-02-03 22:43:47Z,0.3984,0.4674,0.6219,0.3984,23.4961,54849
10,system_update,echoes,s,2024-02-03 22:43:48Z,0.000000125,0.000000211,0.000000266,0.000000001,0.000055792,1000000
10,system_update,echoes,kb,2024-02-03 22:43:49Z,0.0001,0.043,0.0468,0.0001,2.3867,1000000
10,system_update,lovetoys,s,2024-02-03 22:43:49Z,0.000000208,0.000000205,0.000000207,0.000000125,0.000040292,1000000
10,system_update,lovetoys,kb,2024-02-03 22:43:50Z,0.0001,0.0001,0,0.0001,0.0001,1000000
10,system_update,tinyecs,s,2024-02-03 22:43:51Z,0.000000083,0.000000076,0.000000089,0.000000001,0.00006075,1000000
10,system_update,tinyecs,kb,2024-02-03 22:43:51Z,0.0001,0.0001,0.0012,0.0001,1.207,1000000
10,system_update,ecs-lua,s,2024-02-03 22:43:52Z,0.000001167,0.000001133,0.000000742,0.000000125,0.000110375,764336
10,system_update,ecs-lua,kb,2024-02-03 22:43:53Z,2.3203,2.1887,1.2368,0.2109,5.3945,731154
10,system_update,nata,s,2024-02-03 22:43:55Z,0.000000292,0.000000303,0.000000299,0.000000208,0.000054625,789678
10,system_update,nata,kb,2024-02-03 22:43:56Z,0.1172,0.1172,0,0.1172,0.1172,779256
10,system_update,concord,s,2024-02-03 22:43:58Z,0.00000025,0.000000242,0.0000002,0.000000125,0.000039167,1000000
10,system_update,concord,kb,2024-02-03 22:43:58Z,0.0001,0.0001,0,0.0001,0.0001,1000000
100,add_empty_entity,echoes,s,2024-02-03 22:43:59Z,0.000011417,0.000011577,0.000000885,0.000011,0.000038625,76356
100,add_empty_entity,echoes,kb,2024-02-03 22:44:00Z,3.9063,3.9063,0,3.9063,3.9063,75907
100,add_empty_entity,lovetoys,s,2024-02-03 22:44:01Z,0.000038958,0.000039249,0.000001516,0.000037875,0.00010025,24583
100,add_empty_entity,lovetoys,kb,2024-02-03 22:44:02Z,58.2656,58.2656,0,58.2656,58.2656,24560
100,add_empty_entity,tinyecs,s,2024-02-03 22:44:04Z,0.000012,0.0000127,0.000002709,0.000008792,0.000095833,73574
100,add_empty_entity,tinyecs,kb,2024-02-03 22:44:05Z,12.0156,12.0156,0.0017,12.0156,12.4688,69840
100,add_empty_entity,ecs-lua,s,2024-02-03 22:44:06Z,0.000034458,0.000034789,0.000003058,0.00002975,0.00010275,27745
100,add_empty_entity,ecs-lua,kb,2024-02-03 22:44:07Z,73.3281,73.3281,0.0004,73.3281,73.3906,28035
100,add_empty_entity,nata,s,2024-02-03 22:44:09Z,0.000129667,0.000130536,0.000002826,0.000118958,0.000208625,7596
100,add_empty_entity,nata,kb,2024-02-03 22:44:10Z,13.0156,13.0156,0,13.0156,13.0156,7590
100,add_empty_entity,concord,s,2024-02-03 22:44:11Z,0.000053458,0.000064572,0.000040478,0.00003225,0.001277833,8729
100,add_empty_entity,concord,kb,2024-02-03 22:44:12Z,39.1719,39.57,1.8914,39.1719,63.4375,9235
100,add_entities,echoes,s,2024-02-03 22:44:13Z,0.00005775,0.000058143,0.000001868,0.000056542,0.000154542,16450
100,add_entities,echoes,kb,2024-02-03 22:44:14Z,128.125,128.125,0.0026,128.125,128.457,16309
100,add_entities,lovetoys,s,2024-02-03 22:44:16Z,0.000092167,0.000093273,0.000003739,0.000088833,0.000186958,10559
100,add_entities,lovetoys,kb,2024-02-03 22:44:17Z,113.5781,113.5781,0,113.5781,113.5781,10438
100,add_entities,tinyecs,s,2024-02-03 22:44:18Z,0.000035917,0.000034952,0.000004247,0.000021417,0.000129458,27878
100,add_entities,tinyecs,kb,2024-02-03 22:44:19Z,37.9531,37.9531,0.0027,37.9531,38.4063,27868
100,add_entities,ecs-lua,s,2024-02-03 22:44:21Z,0.000108708,0.000109152,0.000004338,0.000100083,0.000245042,9050
100,add_entities,ecs-lua,kb,2024-02-03 22:44:22Z,181.1406,181.1406,0,181.1406,181.1406,8973
100,add_entities,nata,s,2024-02-03 22:44:23Z,0.000143583,0.000144532,0.00000536,0.000133583,0.000239,6864
100,add_entities,nata,kb,2024-02-03 22:44:24Z,38.9531,38.9531,0,38.9531,38.9531,6832
100,add_entities,concord,s,2024-02-03 22:44:25Z,0.000066958,0.000079584,0.000048264,0.000051917,0.0019335,7765
100,add_entities,concord,kb,2024-02-03 22:44:26Z,98.5469,99.1015,2.2152,98.5469,125.8086,7981
100,remove_entities,echoes,s,2024-02-03 22:44:28Z,0.000109917,0.000111445,0.000003835,0.000108125,0.000161375,4400
100,remove_entities,echoes,kb,2024-02-03 22:44:29Z,47.6563,47.6564,0.005,47.6563,47.9883,4402
100,remove_entities,lovetoys,s,2024-02-03 22:44:30Z,0.000011417,0.00001164,0.000001321,0.000010958,0.000044333,8453
100,remove_entities,lovetoys,kb,2024-02-03 22:44:31Z,0.0001,0.0001,0,0.0001,0.0001,8421
100,remove_entities,tinyecs,s,2024-02-03 22:44:32Z,0.000020042,0.000020267,0.000002803,0.000015167,0.000215458,37729
100,remove_entities,tinyecs,kb,2024-02-03 22:44:33Z,5.1406,5.1406,0.0023,5.1406,5.5938,37698
100,remove_entities,ecs-lua,s,2024-02-03 22:44:35Z,0.000001708,0.000001905,0.000001885,0.000001417,0.000055292,9143
100,remove_entities,ecs-lua,kb,2024-02-03 22:44:36Z,1.1641,1.1641,0,1.1641,1.1641,9044
100,remove_entities,concord,s,2024-02-03 22:44:37Z,0.000055375,0.000097543,0.000112214,0.000028417,0.00120175,3286
100,remove_entities,concord,kb,2024-02-03 22:44:38Z,7.9219,11.2137,5.8377,7.9219,40.9766,3023
100,get_component,echoes,s,2024-02-03 22:44:39Z,0.000000125,0.000000145,0.0000001,0.000000042,0.000005458,8553
100,get_component,echoes,kb,2024-02-03 22:44:41Z,0.0001,0.0002,0.0049,0.0001,0.4531,8550
100,get_component,lovetoys,s,2024-02-03 22:44:42Z,0.000000542,0.000000558,0.000000171,0.000000417,0.000006833,9384
100,get_component,lovetoys,kb,2024-02-03 22:44:43Z,0.0001,0.0001,0.0047,0.0001,0.4531,9290
100,get_component,tinyecs,s,2024-02-03 22:44:44Z,0.000000125,0.000000119,0.000000081,0.000000042,0.0000265,145834
100,get_component,tinyecs,kb,2024-02-03 22:44:46Z,0.0001,0.0001,0.0012,0.0001,0.4531,152076
100,get_component,ecs-lua,s,2024-02-03 22:44:48Z,0.000001375,0.000001415,0.000000278,0.00000125,0.000008417,9184
100,get_component,ecs-lua,kb,2024-02-03 22:44:50Z,8.5938,8.5939,0.0048,8.5938,9.0469,9044
100,get_component,nata,s,2024-02-03 22:44:51Z,0.000000125,0.000000161,0.000000219,0.000000042,0.000008208,7154
100,get_component,nata,kb,2024-02-03 22:44:52Z,0.0001,0.0002,0.0054,0.0001,0.4531,7142
100,get_component,concord,s,2024-02-03 22:44:53Z,0.000000208,0.000000503,0.000002244,0.000000083,0.000034583,5923
100,get_component,concord,kb,2024-02-03 22:44:54Z,0.0001,0.0081,0.067,0.0001,0.6133,6525
100,get_components,echoes,s,2024-02-03 22:44:55Z,0.000000125,0.000000141,0.000000103,0.000000042,0.000006458,8601
100,get_components,echoes,kb,2024-02-03 22:44:57Z,0.0001,0.0002,0.0049,0.0001,0.4531,8511
100,get_components,lovetoys,s,2024-02-03 22:44:58Z,0.000000667,0.000000695,0.000000262,0.0000005,0.0000105,9264
100,get_components,lovetoys,kb,2024-02-03 22:44:59Z,0.0001,0.0001,0.0047,0.0001,0.4531,9225
100,get_components,tinyecs,s,2024-02-03 22:45:00Z,0.000000208,0.000000197,0.000000147,0.000000083,0.000042667,153388
100,get_components,tinyecs,kb,2024-02-03 22:45:02Z,0.0001,0.0001,0.0012,0.0001,0.4531,155013
100,get_components,ecs-lua,s,2024-02-03 22:45:04Z,0.000018417,0.000018672,0.000001421,0.000016875,0.00004725,7854
100,get_components,ecs-lua,kb,2024-02-03 22:45:06Z,22.6563,22.6563,0,22.6563,22.6563,7835
100,get_components,nata,s,2024-02-03 22:45:07Z,0.000000208,0.000000229,0.000000212,0.000000125,0.000009208,7135
100,get_components,nata,kb,2024-02-03 22:45:08Z,0.0001,0.0002,0.0054,0.0001,0.4531,7140
100,get_components,concord,s,2024-02-03 22:45:09Z,0.000000333,0.00000069,0.000002492,0.000000208,0.000047,5158
100,get_components,concord,kb,2024-02-03 22:45:10Z,0.0001,0.0104,0.0814,0.0001,0.7344,5316
100,add_component,echoes,s,2024-02-03 22:45:11Z,0.000042958,0.000043497,0.000002148,0.000041375,0.000091208,17031
100,add_component,echoes,kb,2024-02-03 22:45:12Z,82.0313,82.0313,0.0026,82.0313,82.3633,16812
100,add_component,lovetoys,s,2024-02-03 22:45:14Z,0.000024292,0.000024487,0.000001244,0.000023167,0.000081167,18160
100,add_component,lovetoys,kb,2024-02-03 22:45:15Z,28.9063,28.9063,0,28.9063,28.9063,17606
100,add_component,tinyecs,s,2024-02-03 22:45:16Z,0.000002542,0.000002619,0.000000807,0.000002333,0.000040417,190162
100,add_component,tinyecs,kb,2024-02-03 22:45:18Z,15.625,15.625,0.0011,15.625,16.0781,185774
100,add_component,ecs-lua,s,2024-02-03 22:45:20Z,0.000023792,0.000023933,0.000001026,0.000022583,0.000080417,20116
100,add_component,ecs-lua,kb,2024-02-03 22:45:21Z,37.5,37.5,0,37.5,37.5,19710
100,add_component,nata,s,2024-02-03 22:45:23Z,0.000002625,0.000002772,0.00000058,0.000002375,0.000018167,7372
100,add_component,nata,kb,2024-02-03 22:45:24Z,15.625,15.6251,0.0053,15.625,16.0781,7334
100,add_component,concord,s,2024-02-03 22:45:25Z,0.000009125,0.000009359,0.000003339,0.000008,0.000120167,11022
100,add_component,concord,kb,2024-02-03 22:45:26Z,25,25.0112,0.2503,25,33.2813,11108
100,add_components,echoes,s,2024-02-03 22:45:27Z,0.000098667,0.000100331,0.000004683,0.000095583,0.000181292,8588
100,add_components,echoes,kb,2024-02-03 22:45:28Z,124.2188,124.2188,0,124.2188,124.2188,8595
100,add_components,lovetoys,s,2024-02-03 22:45:30Z,0.000070125,0.00007059,0.00000177,0.000068542,0.000102292,9871
100,add_components,lovetoys,kb,2024-02-03 22:45:31Z,78.125,78.125,0,78.125,78.125,9661
100,add_components,tinyecs,s,2024-02-03 22:45:32Z,0.00000675,0.000006932,0.000001236,0.000006458,0.000056875,103752
